order_id,order_date,order_time,store_id,product_id,brand_name,total_amount
DEMO-ST1001-001,01-06-2026,10:16:20,ST1001,399945,Faces Canada,339.52
DEMO-ST1001-002,01-06-2026,10:28:20,ST1001,353621,Faces Canada,557.11
DEMO-ST1001-003,01-06-2026,10:40:20,ST1001,333323,Faces Canada,529.19
DEMO-ST1001-003,01-06-2026,10:40:20,ST1001,407887,Purplle,40.08
DEMO-ST1001-004,01-06-2026,10:52:20,ST1001,407887,Purplle,53.08
DEMO-ST1001-005,01-06-2026,11:04:20,ST1001,384974,Faces Canada,429.17
DEMO-ST1001-006,01-06-2026,11:16:20,ST1001,374936,Renee,227.92
DEMO-ST1001-006,01-06-2026,11:16:20,ST1001,368782,Faces Canada,676.70
DEMO-ST1001-007,01-06-2026,11:28:23,ST1001,368782,Faces Canada,689.70
DEMO-ST1001-008,01-06-2026,11:40:24,ST1001,373436,Faces Canada,546.35
DEMO-ST1002-001,01-06-2026,10:12:25,ST1002,399945,Faces Canada,297.19
DEMO-ST1002-002,01-06-2026,10:24:30,ST1002,353621,Faces Canada,488.26
DEMO-ST1002-003,01-06-2026,10:36:32,ST1002,333323,Faces Canada,465.65
DEMO-ST1002-003,01-06-2026,10:36:32,ST1002,407887,Purplle,39.94
DEMO-ST1002-004,01-06-2026,10:48:33,ST1002,407887,Purplle,52.94
DEMO-ST1002-005,01-06-2026,11:00:37,ST1002,384974,Faces Canada,373.54
